solidity,solc,contract,time,num_states,cov_1,cov_2,vulnerability,phase2,#_total_runtime_instr,function_cov,#_covered_deep_func,#_total_deep_func
0x70814357697c5290920bca4327fe6640e22edd49.sol,0.6.0,DropETH,511.41912031173706,1360,3.77%,92.53%,"{'bug1': {'name': ' Exception State ', 'SWC_ID': ' 110', 'Severity': ' Medium', 'Contract': ' DropETH', 'Function_name': ' dropETH(address[],string)', 'PC_address': ' 381', 'Estimated_Gas_Usage': ' 882 - 6434', 'file_point': '7'}, 'bug2': {'name': ' Multiple Calls in a Single Transaction ', 'SWC_ID': ' 113', 'Severity': ' Low', 'Contract': ' DropETH', 'Function_name': ' dropETH(address[],string)', 'PC_address': ' 467', 'Estimated_Gas_Usage': ' 4326 - 80609', 'file_point': '9'}}",False,0,[],0,0
0x73d69485462862b1d4F0674611D5d6A43DD424e4.sol,0.5.0,Revolution,1810.0630731582642,0,0,0,0,False,0,[],0,0
0x7bae997806015b3e814124d14bb5bed6e725c0a9.sol,0.4.24,BCEToken,1683.7771995067596,36464,8.49%,97.45%,"{'bug1': {'name': ' External Call To User-Supplied Address ', 'SWC_ID': ' 107', 'Severity': ' Low', 'Contract': ' BCEToken', 'Function_name': ' approveAndCall(address,uint256,bytes)', 'PC_address': ' 4934', 'Estimated_Gas_Usage': ' 9512 - 69040', 'file_point': '221'}, 'bug2': {'name': ' External Call To User-Supplied Address ', 'SWC_ID': ' 107', 'Severity': ' Low', 'Contract': ' BCEToken', 'Function_name': ' transferAnyERC20Token(address,uint256)', 'PC_address': ' 5345', 'Estimated_Gas_Usage': ' 4051 - 39744', 'file_point': '224'}}",False,0,[],0,0
0x89d386ecf73aa803028ee9fb8188c428ebe4a382.sol,0.5.8,InstaMcdMigrate,1810.0626356601715,66786,0.23%,51.37%,"{'bug1': {'name': ' Multiple Calls in a Single Transaction ', 'SWC_ID': ' 113', 'Severity': ' Low', 'Contract': ' InstaMcdMigrate', 'Function_name': ' getBestMkrSwap(address,uint256)', 'PC_address': ' 2374', 'Estimated_Gas_Usage': ' 9329 - 182705', 'file_point': '325'}, 'bug2': {'name': ' External Call To User-Supplied Address ', 'SWC_ID': ' 107', 'Severity': ' Low', 'Contract': ' InstaMcdMigrate', 'Function_name': ' openVault()', 'PC_address': ' 3165', 'Estimated_Gas_Usage': ' 3586 - 73086', 'file_point': '470'}, 'bug3': {'name': ' Multiple Calls in a Single Transaction ', 'SWC_ID': ' 113', 'Severity': ' Low', 'Contract': ' InstaMcdMigrate', 'Function_name': ' openVault()', 'PC_address': ' 3165', 'Estimated_Gas_Usage': ' 3586 - 73086', 'file_point': '470'}, 'bug4': {'name': ' Multiple Calls in a Single Transaction ', 'SWC_ID': ' 113', 'Severity': ' Low', 'Contract': ' InstaMcdMigrate', 'Function_name': ' getBestMkrSwap(address,uint256)', 'PC_address': ' 3899', 'Estimated_Gas_Usage': ' 5644 - 109801', 'file_point': '338'}, 'bug5': {'name': ' Multiple Calls in a Single Transaction ', 'SWC_ID': ' 113', 'Severity': ' Low', 'Contract': ' InstaMcdMigrate', 'Function_name': ' getUniswapSwap(address,uint256)', 'PC_address': ' 4010', 'Estimated_Gas_Usage': ' 5501 - 109563', 'file_point': '337'}, 'bug6': {'name': ' Exception State ', 'SWC_ID': ' 110', 'Severity': ' Medium', 'Contract': ' InstaMcdMigrate', 'Function_name': ' migrate(uint256,uint256,uint256,address)', 'PC_address': ' 12919', 'Estimated_Gas_Usage': ' 14410 - 290714', 'file_point': '226'}}",False,0,[],0,0
0x8b12739df8760a67e79afbe0cd8cf113c009f411.sol,0.4.21,WJLToken,931.6487400531769,36283,7.18%,97.45%,"{'bug1': {'name': ' Exception State ', 'SWC_ID': ' 110', 'Severity': ' Medium', 'Contract': ' WJLToken', 'Function_name': ' mint(address,uint256)', 'PC_address': ' 6139', 'Estimated_Gas_Usage': ' 3765 - 4520', 'file_point': '39'}}",False,0,[],0,0
0x932773aE4B661029704e731722CF8129e1B32494.sol,0.5.12,MCDAwarePool,1810.1211733818054,0,0,0,0,False,0,[],0,0
0x97559da69198ef6b6ab7852699df3ba1bb004146.sol,0.5.0,DOSPayment,1704.5977020263672,56663,5.35%,67.42%,"{'bug1': {'name': ' Multiple Calls in a Single Transaction ', 'SWC_ID': ' 113', 'Severity': ' Low', 'Contract': ' DOSPayment', 'Function_name': ' hasServiceFee(address,uint256)', 'PC_address': ' 13491', 'Estimated_Gas_Usage': ' 7021 - 77656', 'file_point': '188'}}",False,0,[],0,0
0x98660b2a4201ba6cbb47199c6d90e42a466d888b.sol,0.4.16,DublerToken,1.6067559719085693,0,0,0,0,False,0,[],0,0
0xa94dffc127be00ce33889fff47a1ca6ccf1ef488.sol,0.5.1,MindsyncRewardPool,512.9331405162811,21713,3.22%,99.74%,"{'bug1': {'name': ' External Call To User-Supplied Address ', 'SWC_ID': ' 107', 'Severity': ' Low', 'Contract': ' MindsyncRewardPool', 'Function_name': ' withdrawTokens(uint256)', 'PC_address': ' 1689', 'Estimated_Gas_Usage': ' 4490 - 40534', 'file_point': '77'}, 'bug2': {'name': ' Unprotected Ether Withdrawal ', 'SWC_ID': ' 105', 'Severity': ' High', 'Contract': ' MindsyncRewardPool', 'Function_name': ' withdrawEther(uint256)', 'PC_address': ' 1995', 'Estimated_Gas_Usage': ' 2801 - 38044', 'file_point': '101'}, 'bug3': {'name': ' External Call To User-Supplied Address ', 'SWC_ID': ' 107', 'Severity': ' Low', 'Contract': ' MindsyncRewardPool', 'Function_name': ' withdrawAnyTokens(address,uint256)', 'PC_address': ' 2385', 'Estimated_Gas_Usage': ' 3765 - 39574', 'file_point': '88'}, 'bug4': {'name': ' External Call To User-Supplied Address ', 'SWC_ID': ' 107', 'Severity': ' Low', 'Contract': ' MindsyncRewardPool', 'Function_name': ' receiveApproval(address,uint256,address,bytes)', 'PC_address': ' 2865', 'Estimated_Gas_Usage': ' 3570 - 42202', 'file_point': '29'}}",False,0,[],0,0
0xAb42b0D4638ee1bf4eb4b369Cd2d196dD7f8f2C3.sol,0.6.4,AaveTokenAdapter,6.897662878036499,577,1.28%,28.04%,0,False,0,[],0,0
0xad7f2125c05837b0985e1aa3ba76dded2fd6d59b.sol,0.5.8,DMLToken,568.8245782852173,29872,10.39%,95.39%,0,False,0,[],0,0
0x1a696C27be494BadDfa63A8ff1C37366F526c669.sol,0.6.0,StaticConnectBasic,25.286823272705078,2005,1.94%,87.30%,0,False,0,[],0,0
0x372039dd01953f731c8493fa11b2a10a9a93b4cf.sol,0.5.16,StrategyControllerV2,575.3381869792938,64908,1.66%,64.63%,0,False,0,[],0,0
0x61ab1d42f0981dbb7069831e239266e8861878ba.sol,0.5.1,PALLADIUM,1810.0697493553162,46832,10.20%,83.85%,"{'bug1': {'name': ' Integer Arithmetic Bugs ', 'SWC_ID': ' 101', 'Severity': ' High', 'Contract': ' PALLADIUM', 'Function_name': ' getMiningReward()', 'PC_address': ' 5109', 'Estimated_Gas_Usage': ' 2237 - 3603', 'file_point': '928'}, 'bug2': {'name': ' External Call To User-Supplied Address ', 'SWC_ID': ' 107', 'Severity': ' Low', 'Contract': ' PALLADIUM', 'Function_name': ' approveAndCall(address,uint256,bytes)', 'PC_address': ' 7156', 'Estimated_Gas_Usage': ' 9902 - 68819', 'file_point': '961'}, 'bug3': {'name': ' External Call To User-Supplied Address ', 'SWC_ID': ' 107', 'Severity': ' Low', 'Contract': ' PALLADIUM', 'Function_name': ' transferAnyERC20Token(address,uint256)', 'PC_address': ' 7524', 'Estimated_Gas_Usage': ' 4423 - 40116', 'file_point': '961'}}",False,0,[],0,0
0x6d72ff6373c86f3b3cca09ff18068d3c8f2b62b6.sol,0.4.26,DeFi,89.70111966133118,2881,4.21%,99.78%,"{'bug1': {'name': ' External Call To User-Supplied Address ', 'SWC_ID': ' 107', 'Severity': ' Low', 'Contract': ' DeFi', 'Function_name': ' fallback', 'PC_address': ' 593', 'Estimated_Gas_Usage': ' 2719 - 37801', 'file_point': '19'}}",False,0,[],0,0
0x7163b91c325BD05BEDe113c4Cb8e31A12C789B7d.sol,0.4.17,TetherToken,1.6554908752441406,0,0,0,0,False,0,[],0,0
0x78f2c2af65126834c51822f56be0d7469d7a523e.sol,0.5.12,Cat,195.1139738559723,17064,3.62%,73.57%,0,False,0,[],0,0
0x7ee48259c4a894065d4a5282f230d00908fd6d96.sol,0.6.0,Minereum,1810.0904338359833,47649,5.23%,93.20%,0,False,0,[],0,0
0x84bc0c6e8314658398679e59c4f3271de71c9278.sol,0.6.0,CompoundSubscriptions,529.5603713989258,28627,0.73%,95.79%,"{'bug1': {'name': ' Exception State ', 'SWC_ID': ' 110', 'Severity': ' Medium', 'Contract': ' CompoundSubscriptions', 'Function_name': ' subscribers(uint256)', 'PC_address': ' 2948', 'Estimated_Gas_Usage': ' 1290 - 1385', 'file_point': '67'}, 'bug2': {'name': ' Integer Arithmetic Bugs ', 'SWC_ID': ' 101', 'Severity': ' High', 'Contract': ' CompoundSubscriptions', 'Function_name': ' getSubscribersByPage(uint256,uint256)', 'PC_address': ' 3235', 'Estimated_Gas_Usage': ' 3613 - 8794', 'file_point': '198'}, 'bug3': {'name': ' Integer Arithmetic Bugs ', 'SWC_ID': ' 101', 'Severity': ' High', 'Contract': ' CompoundSubscriptions', 'Function_name': ' getSubscribersByPage(uint256,uint256)', 'PC_address': ' 3242', 'Estimated_Gas_Usage': ' 3620 - 8708', 'file_point': '198'}, 'bug4': {'name': ' Exception State ', 'SWC_ID': ' 110', 'Severity': ' Medium', 'Contract': ' CompoundSubscriptions', 'Function_name': ' getSubscribersByPage(uint256,uint256)', 'PC_address': ' 3294', 'Estimated_Gas_Usage': ' 1935 - 3259', 'file_point': '210'}, 'bug5': {'name': ' Exception State ', 'SWC_ID': ' 110', 'Severity': ' Medium', 'Contract': ' CompoundSubscriptions', 'Function_name': ' getHolder(address)', 'PC_address': ' 4360', 'Estimated_Gas_Usage': ' 2395 - 3438', 'file_point': '187'}}",False,0,[],0,0
0x8bb8862e8cd17aa895516a78c39147576de7c14d.sol,0.4.24,MockAmpleforth,6.171208620071411,171,11.70%,99.33%,0,False,0,[],0,0
0xA75453c61AdEA4db0a52AEDa47880f055bD3aF12.sol,0.5.0,DevMigration,15.426252126693726,1299,13.57%,86.99%,"{'bug1': {'name': ' External Call To User-Supplied Address ', 'SWC_ID': ' 107', 'Severity': ' Low', 'Contract': ' DevMigration', 'Function_name': ' migrate()', 'PC_address': ' 863', 'Estimated_Gas_Usage': ' 8583 - 147966', 'file_point': '328'}, 'bug2': {'name': ' Multiple Calls in a Single Transaction ', 'SWC_ID': ' 113', 'Severity': ' Low', 'Contract': ' DevMigration', 'Function_name': ' migrate()', 'PC_address': ' 863', 'Estimated_Gas_Usage': ' 8583 - 147966', 'file_point': '328'}, 'bug3': {'name': ' Multiple Calls in a Single Transaction ', 'SWC_ID': ' 113', 'Severity': ' Low', 'Contract': ' DevMigration', 'Function_name': ' migrate()', 'PC_address': ' 1149', 'Estimated_Gas_Usage': ' 8583 - 147966', 'file_point': '328'}, 'bug4': {'name': ' External Call To User-Supplied Address ', 'SWC_ID': ' 107', 'Severity': ' Low', 'Contract': ' DevMigration', 'Function_name': ' migrate()', 'PC_address': ' 1336', 'Estimated_Gas_Usage': ' 8583 - 147966', 'file_point': '328'}}",False,0,[],0,0
